emoticon,convert_emoji,translate_emoji,cleaned,tokenize,normalization,stemmed,stopwords_stemmed,text_string_stemmed,label
Gubernur DKI Jakarta Anies Baswedan memberlakukan pengetatan Pembatasan Sosial Berskala Besar (PSBB). #PengetatanPSBB  https://t.co/MKn0lHJNnM,Gubernur DKI Jakarta Anies Baswedan memberlakukan pengetatan Pembatasan Sosial Berskala Besar (PSBB). https //t.co/MKn0lHJNnM,Gubernur DKI Jakarta Anies Baswedan memberlakukan pengetatan Pembatasan Sosial Berskala Besar (PSBB). https //t.co/MKn0lHJNnM,gubernur dki jakarta anies baswedan memberlakukan pengetatan pembatasan sosial berskala besar psbb   tcomkn lhjnnm,"['gubernur', 'dki', 'jakarta', 'anies', 'baswedan', 'memberlakukan', 'pengetatan', 'pembatasan', 'sosial', 'berskala', 'besar', 'psbb', 'tcomkn', 'lhjnnm']","['gubernur', 'dki', 'jakarta', 'anies', 'baswedan', 'memberlakukan', 'pengetatan', 'pembatasan', 'sosial', 'berskala', 'besar', 'psbb', 'tcomkn', 'lhjnnm']","['gubernur', 'dki', 'jakarta', 'anies', 'baswedan', 'laku', 'ketat', 'batas', 'sosial', 'skala', 'besar', 'psbb', 'tcomkn', 'lhjnnm']","['gubernur', 'dki', 'jakarta', 'anies', 'baswedan', 'ketat', 'batas', 'sosial', 'skala', 'tcomkn', 'lhjnnm']",gubernur dki jakarta anies baswedan ketat batas sosial skala tcomkn lhjnnm,positif
psbb berapa x masih skripsian aja 😆  https://t.co/3NtN4fkMWW,psbb berapa x masih skripsian aja grinning_squinting_face https //t.co/3NtN4fkMWW,psbb berapa x masih skripsian aja menyeringai mencipit wajah https //t.co/3NtN4fkMWW,psbb berapa x masih skripsian aja menyeringai mencipit wajah   tco ntn fkmww,"['psbb', 'berapa', 'x', 'masih', 'skripsian', 'aja', 'menyeringai', 'mencipit', 'wajah', 'tco', 'ntn', 'fkmww']","['psbb', 'berapa', 'x', 'masih', 'skripsian', 'aja', 'menyeringai', 'mencipit', 'wajah', 'tco', 'nonton', 'fkmww']","['psbb', 'berapa', 'x', 'masih', 'skripsi', 'aja', 'seringai', 'mencipit', 'wajah', 'tco', 'nonton', 'fkmww']","['skripsi', 'seringai', 'mencipit', 'nonton', 'fkmww']",skripsi seringai mencipit nonton fkmww,netral
"Jelang PSBB, Kapolda Jatim Siapkan Revitalisasi Kampung Tangguh Semeru  https://t.co/PQ3wt0svSY","Jelang PSBB, Kapolda Jatim Siapkan Revitalisasi Kampung Tangguh Semeru https //t.co/PQ3wt0svSY","Jelang PSBB, Kapolda Jatim Siapkan Revitalisasi Kampung Tangguh Semeru https //t.co/PQ3wt0svSY",jelang psbb kapolda jatim siapkan revitalisasi kampung tangguh semeru   tcopq wt svsy,"['jelang', 'psbb', 'kapolda', 'jatim', 'siapkan', 'revitalisasi', 'kampung', 'tangguh', 'semeru', 'tcopq', 'wt', 'svsy']","['jelang', 'psbb', 'kapolda', 'jatim', 'siapkan', 'revitalisasi', 'kampung', 'tangguh', 'semeru', 'tcopq', 'wt', 'svsy']","['jelang', 'psbb', 'kapolda', 'jatim', 'siap', 'revitalisasi', 'kampung', 'tangguh', 'meru', 'tcopq', 'wt', 'svsy']","['jelang', 'kapolda', 'jatim', 'revitalisasi', 'kampung', 'tangguh', 'meru', 'tcopq', 'wt', 'svsy']",jelang kapolda jatim revitalisasi kampung tangguh meru tcopq wt svsy,positif
Sebelum psbb menyerang kembali  https://t.co/2S4f5tSVBg,Sebelum psbb menyerang kembali https //t.co/2S4f5tSVBg,Sebelum psbb menyerang kembali https //t.co/2S4f5tSVBg,sebelum psbb menyerang kembali   tco s f tsvbg,"['sebelum', 'psbb', 'menyerang', 'kembali', 'tco', 's', 'f', 'tsvbg']","['sebelum', 'psbb', 'menyerang', 'kembali', 'tco', 's', 'f', 'tsvbg']","['belum', 'psbb', 'serang', 'kembali', 'tco', 's', 'f', 'tsvbg']","['serang', 'tsvbg']",serang tsvbg,netral
Alhamdulillah. Batal ada kluster baru! Siap PSBB 11-25 Januari,Alhamdulillah. Batal ada kluster baru! Siap PSBB 11-25 Januari,Alhamdulillah. Batal ada kluster baru! Siap PSBB 11-25 Januari,alhamdulillah batal ada kluster baru siap psbb    januari,"['alhamdulillah', 'batal', 'ada', 'kluster', 'baru', 'siap', 'psbb', 'januari']","['alhamdulillah', 'batal', 'ada', 'kluster', 'baru', 'siap', 'psbb', 'januari']","['alhamdulillah', 'batal', 'ada', 'kluster', 'baru', 'siap', 'psbb', 'januari']","['batal', 'kluster', 'januari']",batal kluster januari,positif
"@HukumDan Ga punya otak, ngumpulin orang,  DKI  lagi ketat2nya psbb,  kalau jadi bubarkan pa polisi","Ga punya otak, ngumpulin orang, DKI lagi ketat2nya psbb, kalau jadi bubarkan pa polisi","Ga punya otak, ngumpulin orang, DKI lagi ketat2nya psbb, kalau jadi bubarkan pa polisi",ga punya otak ngumpulin orang dki lagi ketat nya psbb kalau jadi bubarkan pa polisi,"['ga', 'punya', 'otak', 'ngumpulin', 'orang', 'dki', 'lagi', 'ketat', 'nya', 'psbb', 'kalau', 'jadi', 'bubarkan', 'pa', 'polisi']","['tidak', 'punya', 'otak', 'ngumpulin', 'orang', 'dki', 'lagi', 'ketat', 'nya', 'psbb', 'kalau', 'jadi', 'bubarkan', 'pa', 'polisi']","['tidak', 'punya', 'otak', 'ngumpulin', 'orang', 'dki', 'lagi', 'ketat', 'nya', 'psbb', 'kalau', 'jadi', 'bubar', 'pa', 'polisi']","['otak', 'ngumpulin', 'dki', 'ketat', 'bubar', 'pa', 'polisi']",otak ngumpulin dki ketat bubar pa polisi,negatif
"Sebelum PSBB dimulai, segera lakukan aktivitas sebelum ia terbatas","Sebelum PSBB dimulai, segera lakukan aktivitas sebelum ia terbatas","Sebelum PSBB dimulai, segera lakukan aktivitas sebelum ia terbatas",sebelum psbb dimulai segera lakukan aktivitas sebelum ia terbatas,"['sebelum', 'psbb', 'dimulai', 'segera', 'lakukan', 'aktivitas', 'sebelum', 'ia', 'terbatas']","['sebelum', 'psbb', 'dimulai', 'segera', 'lakukan', 'aktivitas', 'sebelum', 'ia', 'terbatas']","['belum', 'psbb', 'mulai', 'segera', 'laku', 'aktivitas', 'belum', 'ia', 'batas']","['aktivitas', 'batas']",aktivitas batas,positif
istilah PSBB kan ga salah.. ada aturannya,istilah PSBB kan ga salah.. ada aturannya,istilah PSBB kan ga salah.. ada aturannya,istilah psbb kan ga salah ada aturannya,"['istilah', 'psbb', 'kan', 'ga', 'salah', 'ada', 'aturannya']","['istilah', 'psbb', 'kan', 'tidak', 'salah', 'ada', 'aturannya']","['istilah', 'psbb', 'kan', 'tidak', 'salah', 'ada', 'atur']","['istilah', 'atur']",istilah atur,positif
"Anggota gabungan TNI-POLRI-POL PP Karangpucung melaksanakan himbauan razia masker, penerapan prokes &amp; sosialisasi PSBB kepada masyarakat, pedagang, dst di wil. Kec. Karangpucung.  #poldajateng #polrescilacap #polsekkarangpucung  https://t.co/RwbSLE9GBC","Anggota gabungan TNI-POLRI-POL PP Karangpucung melaksanakan himbauan razia masker, penerapan prokes &amp; sosialisasi PSBB kepada masyarakat, pedagang, dst di wil. Kec. Karangpucung. https //t.co/RwbSLE9GBC","Anggota gabungan TNI-POLRI-POL PP Karangpucung melaksanakan himbauan razia masker, penerapan prokes &amp; sosialisasi PSBB kepada masyarakat, pedagang, dst di wil. Kec. Karangpucung. https //t.co/RwbSLE9GBC",anggota gabungan tnipolripol pp karangpucung melaksanakan himbauan razia masker penerapan prokes amp sosialisasi psbb kepada masyarakat pedagang dst di wil kec karangpucung   tcorwbsle gbc,"['anggota', 'gabungan', 'tnipolripol', 'pp', 'karangpucung', 'melaksanakan', 'himbauan', 'razia', 'masker', 'penerapan', 'prokes', 'amp', 'sosialisasi', 'psbb', 'kepada', 'masyarakat', 'pedagang', 'dst', 'di', 'wil', 'kec', 'karangpucung', 'tcorwbsle', 'gbc']","['anggota', 'gabungan', 'tnipolripol', 'pp', 'karangpucung', 'melaksanakan', 'himbauan', 'razia', 'masker', 'penerapan', 'prokes', 'amp', 'sosialisasi', 'psbb', 'kepada', 'masyarakat', 'pedagang', 'dst', 'di', 'wil', 'kec', 'karangpucung', 'tcorwbsle', 'gbc']","['anggota', 'gabung', 'tnipolripol', 'pp', 'karangpucung', 'laksana', 'himbauan', 'razia', 'masker', 'terap', 'prokes', 'amp', 'sosialisasi', 'psbb', 'kepada', 'masyarakat', 'dagang', 'dst', 'di', 'wil', 'kec', 'karangpucung', 'tcorwbsle', 'gbc']","['anggota', 'gabung', 'tnipolripol', 'karangpucung', 'laksana', 'himbauan', 'razia', 'masker', 'terap', 'prokes', 'sosialisasi', 'masyarakat', 'dagang', 'wil', 'kec', 'karangpucung', 'tcorwbsle', 'gbc']",anggota gabung tnipolripol karangpucung laksana himbauan razia masker terap prokes sosialisasi masyarakat dagang wil kec karangpucung tcorwbsle gbc,positif
Penerapan PSBB ketat di Jakarta hingga pesawat Sriwijaya Air jatuh menjadi berita populer Sabtu (9/1). #kumparanNEWS  https://t.co/fWvR2FVKfU,Penerapan PSBB ketat di Jakarta hingga pesawat Sriwijaya Air jatuh menjadi berita populer Sabtu (9/1). https //t.co/fWvR2FVKfU,Penerapan PSBB ketat di Jakarta hingga pesawat Sriwijaya Air jatuh menjadi berita populer Sabtu (9/1). https //t.co/fWvR2FVKfU,penerapan psbb ketat di jakarta hingga pesawat sriwijaya air jatuh menjadi berita populer sabtu      tcofwvr fvkfu,"['penerapan', 'psbb', 'ketat', 'di', 'jakarta', 'hingga', 'pesawat', 'sriwijaya', 'air', 'jatuh', 'menjadi', 'berita', 'populer', 'sabtu', 'tcofwvr', 'fvkfu']","['penerapan', 'psbb', 'ketat', 'di', 'jakarta', 'hingga', 'pesawat', 'sriwijaya', 'air', 'jatuh', 'menjadi', 'berita', 'populer', 'sabtu', 'tcofwvr', 'fvkfu']","['terap', 'psbb', 'ketat', 'di', 'jakarta', 'hingga', 'pesawat', 'sriwijaya', 'air', 'jatuh', 'jadi', 'berita', 'populer', 'sabtu', 'tcofwvr', 'fvkfu']","['terap', 'ketat', 'jakarta', 'pesawat', 'sriwijaya', 'air', 'jatuh', 'berita', 'populer', 'tcofwvr', 'fvkfu']",terap ketat jakarta pesawat sriwijaya air jatuh berita populer tcofwvr fvkfu,netral
"@sinyo_hikari Yth. Pelapor, Bantuan Sosial diperuntukkan kepada warga rentan yang terdampak Covid-19 di Jakarta selama masa PSBB.","Yth. Pelapor, Bantuan Sosial diperuntukkan kepada warga rentan yang terdampak Covid-19 di Jakarta selama masa PSBB.","Yth. Pelapor, Bantuan Sosial diperuntukkan kepada warga rentan yang terdampak Covid-19 di Jakarta selama masa PSBB.",yth pelapor bantuan sosial diperuntukkan kepada warga rentan yang terdampak covid  di jakarta selama masa psbb,"['yth', 'pelapor', 'bantuan', 'sosial', 'diperuntukkan', 'kepada', 'warga', 'rentan', 'yang', 'terdampak', 'covid', 'di', 'jakarta', 'selama', 'masa', 'psbb']","['yth', 'pelapor', 'bantuan', 'sosial', 'diperuntukkan', 'kepada', 'warga', 'rentan', 'yang', 'terdampak', 'covid', 'di', 'jakarta', 'selama', 'masa', 'psbb']","['yth', 'lapor', 'bantu', 'sosial', 'untuk', 'kepada', 'warga', 'rentan', 'yang', 'dampak', 'covid', 'di', 'jakarta', 'lama', 'masa', 'psbb']","['lapor', 'bantu', 'sosial', 'warga', 'rentan', 'dampak', 'covid', 'jakarta']",lapor bantu sosial warga rentan dampak covid jakarta,positif
@dessertyyyy ✨psbb✨,sparkles psbb sparkles,sparkles psbb sparkles,sparkles psbb sparkles,"['sparkles', 'psbb', 'sparkles']","['sparkles', 'psbb', 'sparkles']","['sparkles', 'psbb', 'sparkles']","['sparkles', 'sparkles']",sparkles sparkles,netral
Kebijakan tepat DKI. Warga Jakarta sudah familiar dg istilah PSBB dan paham protokolnya bagaimana. Kalau pakai istilah baru bakal bingung. Repot kalau warga malah mengira sudah bukan kebijakan ketat lagi.,Kebijakan tepat DKI. Warga Jakarta sudah familiar dg istilah PSBB dan paham protokolnya bagaimana. Kalau pakai istilah baru bakal bingung. Repot kalau warga malah mengira sudah bukan kebijakan ketat lagi.,Kebijakan tepat DKI. Warga Jakarta sudah familiar dg istilah PSBB dan paham protokolnya bagaimana. Kalau pakai istilah baru bakal bingung. Repot kalau warga malah mengira sudah bukan kebijakan ketat lagi.,kebijakan tepat dki warga jakarta sudah familiar dg istilah psbb dan paham protokolnya bagaimana kalau pakai istilah baru bakal bingung repot kalau warga malah mengira sudah bukan kebijakan ketat lagi,"['kebijakan', 'tepat', 'dki', 'warga', 'jakarta', 'sudah', 'familiar', 'dg', 'istilah', 'psbb', 'dan', 'paham', 'protokolnya', 'bagaimana', 'kalau', 'pakai', 'istilah', 'baru', 'bakal', 'bingung', 'repot', 'kalau', 'warga', 'malah', 'mengira', 'sudah', 'bukan', 'kebijakan', 'ketat', 'lagi']","['kebijakan', 'tepat', 'dki', 'warga', 'jakarta', 'sudah', 'familiar', 'dg', 'istilah', 'psbb', 'dan', 'paham', 'protokolnya', 'bagaimana', 'kalau', 'pakai', 'istilah', 'baru', 'bakal', 'bingung', 'repot', 'kalau', 'warga', 'malah', 'mengira', 'sudah', 'bukan', 'kebijakan', 'ketat', 'lagi']","['bijak', 'tepat', 'dki', 'warga', 'jakarta', 'sudah', 'familiar', 'dg', 'istilah', 'psbb', 'dan', 'paham', 'protokol', 'bagaimana', 'kalau', 'pakai', 'istilah', 'baru', 'bakal', 'bingung', 'repot', 'kalau', 'warga', 'malah', 'ira', 'sudah', 'bukan', 'bijak', 'ketat', 'lagi']","['bijak', 'dki', 'warga', 'jakarta', 'familiar', 'istilah', 'paham', 'protokol', 'pakai', 'istilah', 'bingung', 'repot', 'warga', 'ira', 'bijak', 'ketat']",bijak dki warga jakarta familiar istilah paham protokol pakai istilah bingung repot warga ira bijak ketat,positif
@blokirrrrt Yah psbb ketat ojol cuma bisa kirim barang sama makanan ya? Penumpang ga bisa lagi? Haduh...,Yah psbb ketat ojol cuma bisa kirim barang sama makanan ya? Penumpang ga bisa lagi? Haduh...,Yah psbb ketat ojol cuma bisa kirim barang sama makanan ya? Penumpang ga bisa lagi? Haduh...,yah psbb ketat ojol cuma bisa kirim barang sama makanan ya penumpang ga bisa lagi haduh,"['yah', 'psbb', 'ketat', 'ojol', 'cuma', 'bisa', 'kirim', 'barang', 'sama', 'makanan', 'ya', 'penumpang', 'ga', 'bisa', 'lagi', 'haduh']","['yah', 'psbb', 'ketat', 'ojol', 'cuma', 'bisa', 'kirim', 'barang', 'sama', 'makanan', 'ya', 'penumpang', 'tidak', 'bisa', 'lagi', 'haduh']","['yah', 'psbb', 'ketat', 'ojol', 'cuma', 'bisa', 'kirim', 'barang', 'sama', 'makan', 'ya', 'tumpang', 'tidak', 'bisa', 'lagi', 'haduh']","['ketat', 'ojol', 'kirim', 'makan', 'tumpang']",ketat ojol kirim makan tumpang,negatif
@king_bppo24 Semoga lancar ya. Soalnya senin pun sudah mulai psbb kan min?,Semoga lancar ya. Soalnya senin pun sudah mulai psbb kan min?,Semoga lancar ya. Soalnya senin pun sudah mulai psbb kan min?,semoga lancar ya soalnya senin pun sudah mulai psbb kan min,"['semoga', 'lancar', 'ya', 'soalnya', 'senin', 'pun', 'sudah', 'mulai', 'psbb', 'kan', 'min']","['semoga', 'lancar', 'ya', 'soalnya', 'senin', 'pun', 'sudah', 'mulai', 'psbb', 'kan', 'min']","['moga', 'lancar', 'ya', 'soal', 'senin', 'pun', 'sudah', 'mulai', 'psbb', 'kan', 'min']",['lancar'],lancar,netral
persiapan sebelum psbb lagi: jaga jarak poin dengan peringkat dua~,persiapan sebelum psbb lagi jaga jarak poin dengan peringkat dua~,persiapan sebelum psbb lagi jaga jarak poin dengan peringkat dua~,persiapan sebelum psbb lagi jaga jarak poin dengan peringkat dua,"['persiapan', 'sebelum', 'psbb', 'lagi', 'jaga', 'jarak', 'poin', 'dengan', 'peringkat', 'dua']","['persiapan', 'sebelum', 'psbb', 'lagi', 'jaga', 'jarak', 'poin', 'dengan', 'peringkat', 'dua']","['siap', 'belum', 'psbb', 'lagi', 'jaga', 'jarak', 'poin', 'dengan', 'peringkat', 'dua']","['jaga', 'jarak', 'poin', 'peringkat']",jaga jarak poin peringkat,netral
Tpi psbb,Tpi psbb,Tpi psbb,tpi psbb,"['tpi', 'psbb']","['tapi', 'psbb']","['tapi', 'psbb']",[],,netral
"Gubernur Siapkan Kepgub dan Surat Edaran Terkini, Terkait Pemberlakuan PSBB Proporsional  https://t.co/kKh3psbkgT  https://t.co/pFOLg7U9WN","Gubernur Siapkan Kepgub dan Surat Edaran Terkini, Terkait Pemberlakuan PSBB Proporsional https //t.co/kKh3psbkgT https //t.co/pFOLg7U9WN","Gubernur Siapkan Kepgub dan Surat Edaran Terkini, Terkait Pemberlakuan PSBB Proporsional https //t.co/kKh3psbkgT https //t.co/pFOLg7U9WN",gubernur siapkan kepgub dan surat edaran terkini terkait pemberlakuan psbb proporsional   tcokkh psbkgt   tcopfolg u wn,"['gubernur', 'siapkan', 'kepgub', 'dan', 'surat', 'edaran', 'terkini', 'terkait', 'pemberlakuan', 'psbb', 'proporsional', 'tcokkh', 'psbkgt', 'tcopfolg', 'u', 'wn']","['gubernur', 'siapkan', 'kepgub', 'dan', 'surat', 'edaran', 'terkini', 'terkait', 'pemberlakuan', 'psbb', 'proporsional', 'tcokkh', 'psbkgt', 'tcopfolg', 'u', 'wn']","['gubernur', 'siap', 'kepgub', 'dan', 'surat', 'edar', 'kini', 'kait', 'laku', 'psbb', 'proporsional', 'tcokkh', 'psbkgt', 'tcopfolg', 'u', 'wn']","['gubernur', 'kepgub', 'surat', 'edar', 'kait', 'proporsional', 'tcokkh', 'psbkgt', 'tcopfolg', 'wn']",gubernur kepgub surat edar kait proporsional tcokkh psbkgt tcopfolg wn,positif
Karena PSBB senin besok jadi dipending dulu buat takeoff ke sulawesi buat ketemu sama supplier.,Karena PSBB senin besok jadi dipending dulu buat takeoff ke sulawesi buat ketemu sama supplier.,Karena PSBB senin besok jadi dipending dulu buat takeoff ke sulawesi buat ketemu sama supplier.,karena psbb senin besok jadi dipending dulu buat takeoff ke sulawesi buat ketemu sama supplier,"['karena', 'psbb', 'senin', 'besok', 'jadi', 'dipending', 'dulu', 'buat', 'takeoff', 'ke', 'sulawesi', 'buat', 'ketemu', 'sama', 'supplier']","['karena', 'psbb', 'senin', 'besok', 'jadi', 'dipending', 'dulu', 'buat', 'takeoff', 'ke', 'sulawesi', 'buat', 'ketemu', 'sama', 'supplier']","['karena', 'psbb', 'senin', 'besok', 'jadi', 'pending', 'dulu', 'buat', 'takeoff', 'ke', 'sulawesi', 'buat', 'ketemu', 'sama', 'supplier']","['besok', 'pending', 'takeoff', 'sulawesi', 'ketemu', 'supplier']",besok pending takeoff sulawesi ketemu supplier,positif
"@CommuterLine @infoBMKG min @CommuterLine , ada info buat besok senin, jadwal KRL Bogor-Jakarta gimana? kan mulai PSBB ketat / PPKM Jawa-Bali 🙏","min , ada info buat besok senin, jadwal KRL Bogor-Jakarta gimana? kan mulai PSBB ketat / PPKM Jawa-Bali folded_hands","min , ada info buat besok senin, jadwal KRL Bogor-Jakarta gimana? kan mulai PSBB ketat / PPKM Jawa-Bali folded_hands",min  ada info buat besok senin jadwal krl bogorjakarta gimana kan mulai psbb ketat  ppkm jawabali foldedhands,"['min', 'ada', 'info', 'buat', 'besok', 'senin', 'jadwal', 'krl', 'bogorjakarta', 'gimana', 'kan', 'mulai', 'psbb', 'ketat', 'ppkm', 'jawabali', 'foldedhands']","['min', 'ada', 'info', 'buat', 'besok', 'senin', 'jadwal', 'krl', 'bogorjakarta', 'gimana', 'kan', 'mulai', 'psbb', 'ketat', 'ppkm', 'jawabali', 'foldedhands']","['min', 'ada', 'info', 'buat', 'besok', 'senin', 'jadwal', 'krl', 'bogorjakarta', 'gimana', 'kan', 'mulai', 'psbb', 'ketat', 'ppkm', 'jawabali', 'foldedhands']","['info', 'besok', 'jadwal', 'krl', 'bogorjakarta', 'ketat', 'jawabali', 'foldedhands']",info besok jadwal krl bogorjakarta ketat jawabali foldedhands,netral
@GOONJOL @infomalang @infobatu_malang @infobatu @Senaputra_FM @cityguide911fm @RRIMalang lah dalah.... Podo ae lek. Mending gak usah PSBB.😂😂,lah dalah.... Podo ae lek. Mending gak usah PSBB. face_with_tears_of_joy face_with_tears_of_joy,lah dalah.... Podo ae lek. Mending gak usah PSBB. wajah dengan air mata sukacita wajah dengan air mata sukacita,lah dalah podo ae lek mending gak usah psbb wajah dengan air mata sukacita wajah dengan air mata sukacita,"['lah', 'dalah', 'podo', 'ae', 'lek', 'mending', 'gak', 'usah', 'psbb', 'wajah', 'dengan', 'air', 'mata', 'sukacita', 'wajah', 'dengan', 'air', 'mata', 'sukacita']","['lah', 'dalah', 'podo', 'ae', 'lek', 'mending', 'gak', 'usah', 'psbb', 'wajah', 'dengan', 'air', 'mata', 'sukacita', 'wajah', 'dengan', 'air', 'mata', 'sukacita']","['lah', 'dalah', 'podo', 'ae', 'lek', 'mending', 'gak', 'usah', 'psbb', 'wajah', 'dengan', 'air', 'mata', 'sukacita', 'wajah', 'dengan', 'air', 'mata', 'sukacita']","['dalah', 'podo', 'lek', 'mending', 'air', 'sukacita', 'air', 'sukacita']",dalah podo lek mending air sukacita air sukacita,negatif
@tulisanmiring Aman mah dari jam 10 disana kalau psbb jam 19,Aman mah dari jam 10 disana kalau psbb jam 19,Aman mah dari jam 10 disana kalau psbb jam 19,aman mah dari jam   disana kalau psbb jam  ,"['aman', 'mah', 'dari', 'jam', 'disana', 'kalau', 'psbb', 'jam']","['aman', 'mah', 'dari', 'jam', 'disana', 'kalau', 'psbb', 'jam']","['aman', 'mah', 'dari', 'jam', 'sana', 'kalau', 'psbb', 'jam']",['aman'],aman,netral
"@p_widyanto99 @ridwanhr Gubernur yg juga ikut Komen IHSG anjlok krn Anies menerapkan PSBB Di DKI🤣🤣🤣, betul ya Kang Emil???","Gubernur yg juga ikut Komen IHSG anjlok krn Anies menerapkan PSBB Di DKI rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing , betul ya Kang Emil???","Gubernur yg juga ikut Komen IHSG anjlok krn Anies menerapkan PSBB Di DKI berguling-guling di lantai tertawa berguling-guling di lantai tertawa berguling-guling di lantai tertawa , betul ya Kang Emil???",gubernur yg juga ikut komen ihsg anjlok krn anies menerapkan psbb di dki bergulingguling di lantai tertawa bergulingguling di lantai tertawa bergulingguling di lantai tertawa  betul ya kang emil,"['gubernur', 'yg', 'juga', 'ikut', 'komen', 'ihsg', 'anjlok', 'krn', 'anies', 'menerapkan', 'psbb', 'di', 'dki', 'bergulingguling', 'di', 'lantai', 'tertawa', 'bergulingguling', 'di', 'lantai', 'tertawa', 'bergulingguling', 'di', 'lantai', 'tertawa', 'betul', 'ya', 'kang', 'emil']","['gubernur', 'yg', 'juga', 'ikut', 'komen', 'ihsg', 'anjlok', 'karena', 'anies', 'menerapkan', 'psbb', 'di', 'dki', 'bergulingguling', 'di', 'lantai', 'tertawa', 'bergulingguling', 'di', 'lantai', 'tertawa', 'bergulingguling', 'di', 'lantai', 'tertawa', 'betul', 'ya', 'kang', 'emil']","['gubernur', 'yg', 'juga', 'ikut', 'komen', 'ihsg', 'anjlok', 'karena', 'anies', 'terap', 'psbb', 'di', 'dki', 'bergulingguling', 'di', 'lantai', 'tertawa', 'bergulingguling', 'di', 'lantai', 'tertawa', 'bergulingguling', 'di', 'lantai', 'tertawa', 'betul', 'ya', 'kang', 'emil']","['gubernur', 'komen', 'ihsg', 'anjlok', 'anies', 'terap', 'dki', 'bergulingguling', 'lantai', 'tertawa', 'bergulingguling', 'lantai', 'tertawa', 'bergulingguling', 'lantai', 'tertawa', 'kang', 'emil']",gubernur komen ihsg anjlok anies terap dki bergulingguling lantai tertawa bergulingguling lantai tertawa bergulingguling lantai tertawa kang emil,netral
@justyjh @dinoisiest2 udah mau psbb soalnya,udah mau psbb soalnya,udah mau psbb soalnya,udah mau psbb soalnya,"['udah', 'mau', 'psbb', 'soalnya']","['udah', 'mau', 'psbb', 'soalnya']","['udah', 'mau', 'psbb', 'soal']",[],,positif
Tiba2 overthinking mingdep harus ke kampus tapi pas-pasan psbb,Tiba2 overthinking mingdep harus ke kampus tapi pas-pasan psbb,Tiba2 overthinking mingdep harus ke kampus tapi pas-pasan psbb,tiba  overthinking mingdep harus ke kampus tapi paspasan psbb,"['tiba', 'overthinking', 'mingdep', 'harus', 'ke', 'kampus', 'tapi', 'paspasan', 'psbb']","['tiba', 'overthinking', 'mingdep', 'harus', 'ke', 'kampus', 'tapi', 'paspasan', 'psbb']","['tiba', 'overthinking', 'mingdep', 'harus', 'ke', 'kampus', 'tapi', 'paspasan', 'psbb']","['overthinking', 'mingdep', 'kampus', 'paspasan']",overthinking mingdep kampus paspasan,netral
PSBB... PKL libur kabeh...  https://t.co/4H1Z1eBC7w,PSBB... PKL libur kabeh... https //t.co/4H1Z1eBC7w,PSBB... PKL libur kabeh... https //t.co/4H1Z1eBC7w,psbb pkl libur kabeh   tco h z ebc w,"['psbb', 'pkl', 'libur', 'kabeh', 'tco', 'h', 'z', 'ebc', 'w']","['psbb', 'pkl', 'libur', 'kabeh', 'tco', 'h', 'z', 'ebc', 'w']","['psbb', 'pkl', 'libur', 'kabeh', 'tco', 'h', 'z', 'ebc', 'w']","['pkl', 'libur', 'kabeh', 'ebc']",pkl libur kabeh ebc,netral
"Besok psbb dan mulai private juga.... Bingung, mau mindahin ke online tp aku tau kemampuan aku ga di online. Paham ga? Susah anjiiim ngajar online tehsedih(","Besok psbb dan mulai private juga.... Bingung, mau mindahin ke online tp aku tau kemampuan aku ga di online. Paham ga? Susah anjiiim ngajar online tehsedih(","Besok psbb dan mulai private juga.... Bingung, mau mindahin ke online tp aku tau kemampuan aku ga di online. Paham ga? Susah anjiiim ngajar online tehsedih(",besok psbb dan mulai private juga bingung mau mindahin ke online tp aku tau kemampuan aku ga di online paham ga susah anjiiim ngajar online tehsedih,"['besok', 'psbb', 'dan', 'mulai', 'private', 'juga', 'bingung', 'mau', 'mindahin', 'ke', 'online', 'tp', 'aku', 'tau', 'kemampuan', 'aku', 'ga', 'di', 'online', 'paham', 'ga', 'susah', 'anjiiim', 'ngajar', 'online', 'tehsedih']","['besok', 'psbb', 'dan', 'mulai', 'private', 'juga', 'bingung', 'mau', 'mindahin', 'ke', 'online', 'tp', 'aku', 'tau', 'kemampuan', 'aku', 'tidak', 'di', 'online', 'paham', 'tidak', 'susah', 'anjiiim', 'ngajar', 'online', 'tehsedih']","['besok', 'psbb', 'dan', 'mulai', 'private', 'juga', 'bingung', 'mau', 'mindahin', 'ke', 'online', 'tp', 'aku', 'tau', 'mampu', 'aku', 'tidak', 'di', 'online', 'paham', 'tidak', 'susah', 'anjiiim', 'ngajar', 'online', 'tehsedih']","['besok', 'private', 'bingung', 'mindahin', 'online', 'online', 'paham', 'susah', 'anjiiim', 'ngajar', 'online', 'tehsedih']",besok private bingung mindahin online online paham susah anjiiim ngajar online tehsedih,negatif
