text,sentiment
"dulu awal2 psbb ""KITA BUTUH VAKSIN BIAR CORONA INI ILANG DARI MUKA BUMI"" kapn udah ketemu ni vaksin ""NANTI KITA LUMPUH,NANTI KITA DI PASANG CHIP DI TUBUH KITA SAMA PEMERINTAH"" MANUSIA KONTOL LABIL",negatif
@chikibalIs Lagi pada takut razia psbb,negatif
@SHADYBElGE nantii abis psbb aku main lagii kesanaaa 🥰,positif
Psbb mulu ngefek kagak,negatif
@JogjaUpdate Jogja said “apa itu psbb?”,netral
@dd_echa77 Haduh jawa-bali psbb. Batal. Wkwkwk. Btw kalo pi sana nda perlu acls sto. XD qt kwa mo ambe yg dekat2 sajaa,netral
Buat usaha kecil kayak gue yg lg kepontang panting gegara peraturan PSBB ini nyebelin bgt asli. Ga dikasih nafas. Sampe kemarin bongkar tabungan soalnya duit kedai udh gabisa dibuat muter cuma perkara listrik doang,negatif
"@dsuperboy Boro boro mikirin jadi titan. PSBB aja belum kelar, Merapi udah mulai erupsi, Gempa dimana mana, Banjir sudah melanda, Covid makin banyak, Ya mikirin kamu juga. ini udah lebih jadi titan.",negatif
@KharismaRahard1 @kdrama_menfess Nomer 2 lagi kuliah di luar kota gabisa balik. Psbb.,positif
"Sadar ini masih awal tahun tapi udah banyak kejadian gini, berita makin kacau, pandemi yg makin ningkat, pesawat jatuh, psbb ketat, vaksin dkk cuma minta doa yg terbaik dari yg diatas, jam segini blm tidur mikirin carut marut yg trus dateng:""(",negatif
@eclipxe Pemberlakuan pembatasan kegiatan masyarakat alias psbb ganti nama,positif
"@eeenujj Gak boleh, lagi PSBB. :(",negatif
@JogjaUpdate Tak jawab jogja kuwi udu jawa udu bali nanging los angeles dadi ora melu PSBB.,negatif
@JogjaUpdate Fyi jogja ngak psbb  https://t.co/kidKqQMtAJ,negatif
"Naiknya jumlah kasus Covid-19, membuat Indonesia memutuskan kembali menerapkan PSBB, sehingga tren Work From Home berlanjut.  Sebagai penyedia jasa infrastruktur, kami siap membantu Indonesia dalam pemerataan jaringan internet agar pekerja dapat bekerja dengan efektif di rumah.  https://t.co/v1Wmt8wSGf",positif
"@JogjaUpdate Judulnya sih psbb, tp tadi lewat stadion maguwo jam 20an. Malah kayak pasar malem 😢",negatif
@BungRetweet PSBB kan termasuk dalam UU Karantina Kesehatan. Jika tidak mematuhi ada sanksinya,positif
@JUJUTSUFESS Psbb nder,netral
@uramericanno Ahh psbb ge yang penting pake masker ca,positif
"@shxhoshi Skwkwkk para"" kelelawar nih🤣 jd pengangguran begadang mulu wkwk udahhh, skuyy mainnn tp skrg masih psbb si trs takde duittt lahhh :(",negatif
@pinepins masalahnya tangsel emg ikut psbb pin??,netral
"CLOY msh tetap jd juara bertahan di dunia perdrakoran, aplg utk penonton drakor angkatan psbb sepertiku",netral
"btw slamat pgi dunia,, ku tak melihat hewan berjemur pagi ini apakah ikutan psbb kehewanan 🤔",netral
@axdwin Pelajaran PSBB &amp; PPKM belom kelar. Kerjain dulu PR-nya.,netral
"habis psbb, cus bali ah",positif
@tanyainrl Maaf ga jadi beli nutrisari semua toko lagi psbb  besok siang aja ya pak,positif
"@AP88188 Iya Uncle, saya memang kerjanya di dunia malam CLUB, semenjak PSBB di rumah kan jadi kebawa Ampe skrng gk bisa tidur Ampe pagi",negatif
@djamugendongan Oiya psbb yaa lupa wkwk My pleasure mas :) Yok tidor yook,positif
"Kodim Karanganyar Jumat ,15/01/2021  Serda Rahmawan Adi Putra Babinsa  desa Banjarharjo  Koramil 03/Kbk  melaksanakan Komsos bersama Bpk Sardianto   membahas masalah PSBB di Kantor bale desa Banjarharjo ,Kec.Kebakkramat,Kab.Karanganyar.  https://t.co/JEjoYNad81",positif
"@Tustikaduwi Kamehame kayae tutup, AA e FT ya tutup kmarin katane selama PSBB",netral
"@oktavariana disini jg psbb tp banyak kang nasgor yg masi jualan, gamau tidur kalo km ngga tidur",netral
@neomujoaheee kalo ga psbb jam 8. ini psbb aku ga tahu :((,negatif
PSBB terusss aings ga WFO WFO kalo ginimah🙄,netral
"Malaysia memberlakukan PSBB ke negara bagian ke-6, Kelantan, setelah angka Covid-19 terus meningkat   https://t.co/GYjOYewkgd",positif
@Sebelaaass Bekasi psbb:( warkop doang paling yang buka .. tidur duluan sana,negatif
"Saya prihatin jika UU tentang Kekarantinaan Kesehatan dipakai sbg landasan hukum gugatan. UU tsb lex spesialis &amp; tdk bisa dipakai jerat warga negara terkait pelanggaran PSBB. Bayarlah denda, karna tdk ada sanksi pidana.  UU tsb berlaku jika pemerintah menetapkan status lockdown.",positif
@xxxuduhood @calonsebagai psbb wow,netral
gue baru mau beli mcd baru inget lagi psbb jam segini udh pada tutup &lt;///3,positif
PSBB ketat ga ngelarang midnight racing ya 🙂,netral
"@bbangricie wes tutup vip, psbb",netral
Staycation gagal gegara psbb dan corona woi so sad lah,negatif
@raymonddarmawan Psbb ko 🤣,positif
"Mbok kiro aku peduli ta Karo protokol mu  , Sepurane wi Jokowi  ""Aku luweh merdulikno protokol ke hidmahan , kebersihan ,ke ta'dhiman ""  Cek PSBB cek ora  Rak peduli  Wayahe Guwak Yo Guwak   #incrediblegembel  https://t.co/x6tP1bOeaz",negatif
rehat basket sampe psbb kelar semua lapangan tutup tott,negatif
Psbb gini live music dimajuin sore. Daaann anehh bangeeetttt. Sek sepi hahahahhaa. Jadi inget akustikan jam 8 di 360. Iku sek soree ahahah,positif
"@LCSxPSS_1976 Nderek yo min, monggo sek sepatune reget area maguwoharjo dst. Free pickup untuk maguwoharjo. Bukak jam 13.00-17.00 selama psbb. Padahal sleman @PSSleman, tapi yo wes manut pokok e. 😬  https://t.co/YSlzDwf6tE",netral
psbb ih ngaruh 👋  https://t.co/ALiJN0RcHT,positif
"@LCSxPSS_1976 Nderek yo min, monggo sek sepatune reget area maguwoharjo dst. Free pickup untuk maguwoharjo. Bukak jam 13.00-17.00 selama psbb. Padahal sleman @PSSleman, tapi yo wes manut pokok e. ðŸ˜¬  https://t.co/YSlzDwf6tE",positif
"Kayanya selama psbb ini buat gw lebih nyaman jdi introvert. Dulu apa2 tiap ada masalah anaknya pling gabisa mendem sendiri eh skrg mlah lebih suka nyimpen sendiri aja wkwk kek yaudah ini msalah hidup gw, lu semua gaperlu tau",positif
"PSBB begini, indomaret alfamart ternyata gak buka 24 jam. Terimakasih",positif
@altertimebase Psbb gaseru,negatif
oalah psbb kontol nyg mangan apa kie kirik,negatif
"@nehahahahha Agreed. However, PSBB'ians used to SOLVE  RD completely show off in my tuition class ,At the end they never got any grades better than the ones who solved only the ncert 😂  Even we were surprised!!",netral
"Biakul e kukot... Efek samping PSBB weteng lue,,,😔😔 @InfoMieAyamYK  https://t.co/ksvJkkjrqT",negatif
Ada plann ke jogja tp psbb blm kelar huft,negatif
@anakbabairsad kekny gegara psbb,negatif
@anaknyaganteng raono sg dodol mneh yahmene psbb,negatif
@nurinuriii aku sedang di fase ingin makan sate babi di semawis tapi psbb masih 9 Hari lagi.,negatif
Jarene sih psbb.... Jare .....  Video kiriman dari netijen mbatyut..  https://t.co/T9SgIpyr4R,netral
Yang gaenak psbb gini kalo laper jam segini. Diluar ga ada tempat makan yang buka,negatif
"PSBB emang ngaruh ??  Ngaruh, buat para pengusaha mikro !!!",negatif
"@araabkawesatuu Ngenteni psbb mari aee, timbang kenek grebeg wkwk",positif
"Psbb...lngsng dr ALLAH swt..banjir,jembatan putus..yg di dlm ngk bs keluar n sebalik nya..semoga semua cot berlalu dgn izin MU...ya Robb..🙏🤲🤲🤲",positif
"sing psbb gajelas, yo vaksin, yo sawit, patenono ae rakyatmu.",negatif
"@JKSech gak ada,tutup semua soalnya sedang psbb 😌",negatif
rese bgt sih psbb knp gabisa go food jg laper tengah malem pdhl,negatif
"@bibiebah @RestyResseh @Ansor_Satu @YaqutCQoumas mingkem palelu... dulu jajang ngajakin org taruhan soal Anies yg gak akan jadi buat psbb pengetatan pertama, gw respon doi yg mingkem.",negatif
@_fsulaiman kasian balikpapan psbb lagi haduuu:'),positif
senin mulai psbb lagi?,netral
ngelehen yah mene raono bakul golek rokok yo raono sg bukak psbb taekk,negatif
"@hanayol26 yukk kelar psbb mainn, kangen banget juga kak. i wanna tell u  banyak bgt😣",positif
"@FINDlNGSEHUN Psbb jawa bali, jam 7-8 males kudu tutup",negatif
Psbb bikin susah cari rokok jam segini,negatif
PSBB niatnya ngurangin tp gak kompak dan jelas aturannya,negatif
@ini_deaa Psbb yahmene tutup kabeh😔,negatif
Kangen bgt latian ditamkul like anying psbb kapan selesaiiiii,positif
@bwsphile Disini psbb sihh mcd 24 juga tutup,negatif
@sparrowgendheng @YRadianto Sementara PSBB surga ditutup🤣  https://t.co/r0yTbg814F,positif
@omipnyaom Libur dulu psbb,netral
Himbauan 3 pilar #PSBB  https://t.co/g6dtzldSwf,netral
"@papasaurus1 😂😂 Plus minusnya psbb, Paps 😊 Sehat selalu, Papski...🤗🙏",positif
"@ooopaaal Biasanya ku beli di mekdi, gegara psbb jadi udah ttup sampe jm 7 😭",negatif
"Moga ae gada perpanjangan psbb. Capek bener anjir kerja 14 jam tiap hari, mana tidur cuma 7 jam",negatif
@SwaggyYoyon Psbb~,netral
#PSBB  Apakah covid hanya menyerang pada waktu malam? Pagi siang sore apa mereka ga akan menyerang?  Kesan dari psbb seperti ini menghambat para pencari uang dimalam hari,negatif
@kangjulidd Ninu ninu psbb,netral
@BerruangMadu disana aja dulu masih psbb kan?,netral
"Giat patroli pendisiplinan protokol kesehatan selama pemberlakuan PSBB di obyek wisata umbul brintik dan umbul bronjong oleh Kodim 0723/Klt,Polres Klaten, Dishub Pol PP dan Orari kabupaten Klaten.  https://t.co/wtHEdtfUCd",positif
@ZarinNazivah iya mau beli lg udh tutup krn psbb,negatif
"@Naunaback tanggung jawab kak Una 😭disini psbb jm 7 udh pd tutup, laper bgt lagi😭😭",negatif
@Jamalluudinn bukannya tutup kan psbb,netral
"kerjaan cari ya susah, ditambah lagi psbb jilid ke 2, yaweslah nekuni design puzzle feed ini aja sama bikin komplikasi video share di yt sama fb kwwkwk ya itung2 cari aman aja sekalian cari passive income juga wkwkwk.",positif
"dah 2 tmn gue ngaja keluar besok gue tolak, bukan ny gue ga mau. Kota gue masi psbb dan corona makin banyak.",positif
@Christinaratnay tapi sing psbb gur indomaret,netral
@AnnaCitra_ psbb cit,netral
"jam segini kebangun dan badan panas tinggi, mesen obat di halodoc gadapet driver, lupa kalo bali psbb😭",negatif
@twsb666 Ga psbb tmpt ku masih newnormal😂,positif
"Jadi pengangguran 2 minggu gara² PSBB, kenapa sih pemimpin g ada yg pnya pemikiran spt mereka² yg beranggapan COVID19 hanyalah virus BUATAN ? Apa sih yg di takutkan ?  #TrueNormal #FuckCovid19 #KonsporasiBodoh",negatif
@bottykull After PSBB cok . Ga boleh sama bunda kalau PSBB gini 🙂,netral
@outofcontext_id Produk PSBB,netral
PSBB nya pas malem doang,positif
psbb lagi ya? diperketat ga si,netral
"@acilophile efek psbb yaaa, kan jadi pengen juga tapi barusan dah makan .. dah lah masak mie aja cil",positif
@nnyctophilee psbb,netral
"God, please bless this psbb so that it would be the last, i need the world to see me",positif
@ditepilangit Gk ada yg buka mas. Kan PSBB,positif
@ab0utawd Kan lagi psbb,positif
Psbb malah ke dufan. Siapa? Ya kita  https://t.co/AJbNm46caN,netral
@CudllejogjaLili psbb li,netral
"@tanyainrl bilang aja “lagi psbb, gaboleh ada interaksi yg berjarak dekat” gitu sih, atau boong dikit ttng patroli psbb juga sabii. kalo emng ga nyaman, udh skip ajaa",positif
"@arikancil_ Ku gelem, nek neng jogja tak kabari mas, lagi PSBB wkwkw",positif
"Dipukul rata jam malam gak boleh ada aktivitas, trus sing bakulan sego pecel, pentol bakar, terang bulan nde ayani/alun2 iso oleh penghasilan ko ndi? Kecuali selama psbb intuk sumbangan gak masalah. Keluargane pe mangan opo lek jam semono mbok kon kukut. Enak sing kerjo siang no",negatif
PSBB = Punten Sorry Baru Bales,netral
@folkwhlore kayaknya gaada deh HAHA tp gatau jg ya kl psbb gini..,positif
@fahri_aldebaran Kembali ke rutinitas awal waktu psbb dimulai. Rebahan tanpa ada rasa antusias #IkatanCinta,positif
@ssaskuy Psbb dilarang rame rame,positif
Psbb menghambat pertemuan kami..,negatif
@alverinaawikke Km kenapa cuk kok deactive ig? Bsk kita main ya tapi mingdep nunggu selesai psbb soalnya ak takut corona bgtbgtbgt,positif
"turun tangga, jatuh, kaki kiri sakit karna kesleo dan kuku ada yg patah, tapi maksain keluar buat beli soto tekun,  nyampe di tempat, kaki kanan kram karna naruh beban banyak, pas makan ada kecoa, eh di tengah makan ada polisi patroli dateng karna lg psbb:)",positif
@hii_tii13 lagi psbb,netral
@koallaajunkyu kan lagi psbb cantikkk😭,netral
"Skh psbb? ORAI, SKH PERSIHARJO OG",netral
@_langitmalam_ tergantung gonmu psbb ora mas,netral
@ikanunicornn psbb mbak,netral
"Apa emang para penjualnya takut, dan kurang edukasi tentang psbb atau emang pemimpinnya yg kurang memberi informasi?  Diketerangan saja sudah ada  https://t.co/efzkJvkuf1",netral
@NauNaUwU Challenge dikala psbb....,netral
@ManafSamuel @BungkusTukang @Astee_mou @listy9021 Sejak ada PSBB; Mulai agak sepi.... Tapi tetap semangat 💪💪 cari rupiah demi anak.... Amin 🙏,positif
@Christinaratnay psbb 🤣,positif
"Ketika semua persiapan sudah mencapai 70%, eh PSBB diberlalukan kembali, dan dilarang mengadakan acara yamg menimbulkan kerumunan :'(",negatif
"@PT_Transjakarta Tidak mendukung yg bike to work #kecewa @aniesbaswedan , Saya sudah sampai halte, jd harus putar balik, padahal psbb kan gk rame2 amat, kecewa, Cupss",negatif
@republikaonline Ya melanggar lah. Kan lagi PSBB ketat. Berani2nya ngadain acara. Foto2 nyanyi2 gak pake masker dan gak jaga jarak. Sudah jelas2 melanggar pasal berkerumun.,negatif
Ini psbb jane beneran ngga sih? Kok rangorang tep aja bisa rombongan kemana-mana lintas provinsi gapake tes rapid/swab?,netral
"Hari ke 5 PSBB ketat gaes... Narik taksi mesti pagi² sekarang ini. Karena pas hari menjelang magrib, jalanan udah sepi, susah dapet penumpang. Jadi strateginya harus keluar pagi. Semoga Jumat ini jadi berkat gaes. 😇🙏😀",positif
"@_kkaition Lepas psbb, baru di gasin wkwk",positif
psbb 💩,negatif
"Psbb yoben,sek penting ora ksbb ok",netral
@sigit776 @ajenar kmren hito sm istrinya gktau dia nikah dibesarin??? pdhl psbb smpe tgl 25?? gmn tuh dia kn yg pnya acara,netral
"@Toperendusara1 @mohmahfudmd Asumsiku nih om: Pak mahfud bakal kasih statement hrs ditindak tegas.  Lalu direspon polisi dan diproses. Tp krn PSBB, prosesnya butuh waktu yg lama. Ini kan untuk mencegah tjd penularan juga. Ya kira2 sampai pandemi selesai lah. Mgkn 2028.  Biar gak tertular gitu",positif
"@FWBESS Ayok si, emang ada yg enak tempat buat nongkrong selagi psbb gini?",positif
"@LUNERPW Ayo sini, aku open dm tanpa psbb ni",netral
psbb di perketat tapi gua malah disuruh sekolah lalalalaal~~~,netral
"@ustadchen Pada dasarnya anak rumahan &amp; mayoritas kepribadian gue introvert, jd ga terlalu ngefek bgt selama pandemi &amp; psbb. Tp klo lg gelisah, gue exercise ato sepedaan ke BKT situ (soalnya klo lari msh blm berani). Sm nonton anime &amp; bbrp bulan terakhir join kls nulis bahasa jawa, online.  https://t.co/4m0xzVlaL2",positif
"Selama Masa PSBB Transisidi DKI Jakarta tanggal 11-25 Januari 2021, sistem Ganjil Genap Ditiadakan.   #InfoSonora  via @DishubDKI_JKT @TMCPoldaMetro  https://t.co/nl1psObteC",positif
@wondereez Tp klo jam segitu rame bgt mbk pdhl kan lg psbb 👍🤩 tp g tau juga sih udh kebiasaan ikut ayah dr dulu 😭,netral
"Harusnya prof Edi jawab dulu apakah UU karantina itu sudah bisa diberlakukan? Atau, apakah PSBB ini adalah karantina? Masuk dulu situ, baru soal sanksi dan pidana nya. Bukannya hukum itu harus runut? Eh, nggak yah heeee. Maaf udah sotoy.",negatif
"@LtdAkbar @sherinasinna Bukan soal sdh atau belum vaksin, tapi saat ini sedang dijalankan PSBB ketat bos... public figur dibiarin melanggar aturan... main hukum rimba nih?",positif
"Jadi inget angkringan langganan tutup selama psbb, kasian mas2 nya. Padahal dia udah ada di gofood, grabfood asal gak terima dine in gak pa2 mnurut gue",positif
"@emerson_yuntho Tanya dulu bang 1 hal, Bukannya UU itu berlaku jika diterapkan karantina? PSBB PPKM apakah itu karantina?",netral
"@UmarAlChelsea_ @DivHumas_Polri Ayolah @DivHumas_Polri , tegakkan hukum secara adil tanpa pandang bulu. Pelanggaran hukum di saat PSBB diperketat, ini pelanggaran berat, apalagi melibatkan public figur &amp; pejabat. Digaji dr uang rakyat utk penegakkan hukum tp mempermainkan hukum hanya utk kepentingan Penguasa!",positif
"Januari yaa 21'. Pesawat jatoh, back to psbb, gempa.. Cobaanmu, sayang mu kepada kami masyaallah,,, lauhul fatihah (for we all human)🥀",netral
Pada hari Jumat tgl 15 Januari 2021 unit Sabhara Polsek Mergangsan  dipimpin Panit Sabhara Aiptu Riyadi melaksanakan patroli sambang pantau di McDonald Jl Sultan Agung sampaikan pesan kamtibmas dan berikan himbauan agar patuhi PSBB 15/01/2021  https://t.co/11z0FSXybL,positif
"@KompasTV Sdh tahu PSBB kenapa Masih ikut berkerumun,,,,goblok",negatif
Pada hari Jumat tgl 15 Januari 2021 unit Sabhara Polsek Mergangsan  dipimpin Panit Sabhara Aiptu Riyadi melaksanakan patroli sambang pantau di warmindo bangkit Jl Sisingamangaraja sampaikan pesan kamtibmas dan berikan himbauan agar patuhi PSBB 15/01/2021  https://t.co/HhYPSWryT4,positif
Dari rumah ke halte transjakarta aja naek grab car. Dasar sultan sultan. Gara² PSBB (lagi) berasa sultan emang soalnya ongkos berangkat kerja jadi lebih extra. 😪,netral
@HukumDan Pesta nikahan status PSBB TRANSISI pesta ultah status PSBB KETAT JAWA DAN BALI,positif
@zarazettirazr Padahal timingnya malah pas pengetatan PSBB lhooo.....?????,netral
"semarang kui PSIS, duduk pkm/ppkm/psbb  #2021balijatidiri",netral
@geloraco @visiau Pesta yg dilakuan saat psbb ketat.,negatif
"@raffi_nagita17 @jokowi Ini teh lagi PSBB Jawa Bali. Orang orang lg nahan mau kemana-mana, pengusaha taat untuk tutup malam hari, hiburan umum rela tidak dilaksanakan dulu.  Meminta maaf penting tp bertanggung jawab juga beriringan.  https://t.co/Y4BdmSH4bj",positif
"Vaksin itu utk mencegah penularan. Sm dengan 3M dan semua protokol kesehatan lainnya. Sm dengan lockdown atau PSBB. Sm jg dgn ikhtiar mengkonsumsi vitamin, herbal, berjemur. Bedanya, kalau vaksin diproduksi dan memerlukan biaya yg ga sedikit dan pembuatnya institusi bisnis. Klir",positif
"ribut² soal penolakan paksin, negara ini g akn mampu mempaksin seluruh warganya, mo bukti, tu team pemulihan ekonomi g dibubarin krn gagal,ketika ada psbb (lagi)",negatif
@hipohan @visiau Yg katanya jadi Panutan anak muda  habis vaksin keluyuran berpesta abaikan prokes di saat dki terapkan psbb ketat kurang apa coba,positif
"ada yg sdh bayar denda tp ttp ditersangkakan, ada yg jls party disaat PSBb tp assudahlaaah...  selamat pagi dunia tipu².....",netral
@Pencerah__ Iya. Wan Toa juga sadar ada PSBB.  Pandemi covid sangat legit utk dipolitisasi..... Busuk!  https://t.co/FrHXbaGRbS,negatif
@Nana_Rosaa_ @raffi_nagita17 @jokowi Loh saat itu Jakarta hanya psbb transisi mbak dan saat ini Jakarta lagi psbb ketat. Mbak tau kan beda yg sebenarnya gak usah pura2 ah,positif
"PSBB Jakarta Amsyong, ktr ku aja kemaren didatengi Depnaker dan tim krn ada yg kena Covid, tp biasa aja tuh ga ada disuruh tutup 3 hari atau apa. Masih masuk full lagi ga ada tuh WFH....ya udah pengusahanya jadi ndablegh suruh masuk semua karyawannya.",positif
"@dewi_ndolu @taufiqrus apa PSBB DKI itu hanya untuk rakyat biasa , rakyat kecil ,karyawan , rumah makan dll ya ??? 👀🤔👁️🙄 , seleb , publik figur , influencer , buzzer , temen 2 nya boss gk termasuk ya ??? 😱😰🤮",negatif
@Imanuellagc Suka psbb nya doanggg gasuka penyakitnya,positif
@pgnuwutpgmwpcrn @sbyfess Psbb mbak,netral
"@taufiqrus @DonAdam68 apa PSBB DKI itu hanya untuk rakyat biasa , rakyat kecil ,karyawan , rumah makan dll ya ??? 👀🤔👁️🙄 , seleb , publik figur , influencer , buzzer , temen 2 nya boss gk termasuk ya ??? 😱😰🤮",negatif
"males banget punya kepala toko gak mau tahu PSBB, cuma mikirin sales doang.. pengen resign aja rasanya",negatif
"@VIVAcoid Gak di buntuti, trus di blokir rekening nya? Padahal pelanggaran di lakukan pada saat PSBB di perketat.",positif
"@OposisiCerdas @padmaraga_ Katanya PSBB Ketat.. katanya berkerumun aja dibubarkan, Lhaa.. ini dg sengaja buat PESTA?? Ayolah pejabat dan aparat, tunjukan kalo klean benar2 menegakkan hukum yg adil.. jangan jd penguasa dan aparat yg dzolim",negatif
"Capek kan ya pasti PSBB terus? Jadi, yuk PSBB kali ini tolong dipatuhi ya  Biar angka kasus positif COVID-19 di Indonesia bisa menurun dan kita terbebas dari pandemi  Yuk jaga diri, keluarga dan sesama dengan patuhi aturan PSBB #temanhijabku #hijacket #jakethijaber #jaketpanjang  https://t.co/NI5NUlgP6Z",positif
"PSBB ketat diberlakukan lagi nih  Kali ini pemberlakuannya di beberapa daerah di Jawa-Bali, dan namanya ganti jadi Pelaksanaan Pembatasan Kegiatan Masyarakat (PPKM)  Inget gak kalian ini udah PSBB ke berapa? Aku sampe lupa lho🥺 #temanhijabku #hijacket #jakethijaber #jaketpanjang  https://t.co/HTBNV177Hh",positif
kupang psbb bae su ehh,netral
"@enelatte Dari sini terlihat sekali bahwa PSBB hanya berlaku untuk kalangan bawah alias orang miskin🙂 Karena orang2 kaya tiap hari bisa swab jadi boleh party dan melanggar protokol kesehatan, bahkan yang sudah di vaksin pun gak tau diri👍",negatif
"“Pagi,mas. Maaf semalam ketiduran, semangat ya hari ini kerjanya. Jangan lupa sholat Jumat kalo disana gak PSBB” ceritanya gitu",netral
"@VIVAcoid Influencer ini Langgar  Protokol Kesehatan.  Harus diproses secara hukum.  Kasus Raffi Ahmad sama dgn Kasus Petamburan, malah lebih berat karena kondisi PSBB yang diperketat. Kalau Petamburan kondisi PSBB Transisi.  https://t.co/L9PniXnr3u",positif
Kita kasih teguran baik baik... Bahasa prokesnya..  Psbb ketat loh coy.. Org gak pakai masker dijalan aja disanksi,positif
@EVALockheart @demokrasiambyar Tak berijin ditambah pula saat PSBB ketat. Adil itu sulit kecuali bagi orang yang masih percaya akan adanya Tuhan.,negatif
@PT_Transjakarta min tanya psbb bgini jaklingko beroperasi tidak?,netral
"@MenteriKonten @msaid_didu apa PSBB DKI itu hanya untuk rakyat biasa , rakyat kecil ,karyawan , rumah makan dll ya ??? 👀🤔👁️🙄 , seleb , publik figur , influencer , buzzer , temen 2 nya boss gk termasuk ya ??? 😱😰🤮",negatif
"@RosandiID @mohmahfudmd sebenarnya iya tp gw akan follow om Mahmud klo Raffi Ahmad, ahok, dan orang2 yg terlibat pelanggaran Prokes ketika PSBB sdg diperketat ditahan seperti IB HRS",positif
weh 30 orang cak pas PSBB lagi ckck,netral
"@tempodotco apa PSBB DKI itu hanya untuk rakyat biasa , rakyat kecil ,karyawan , rumah makan dll ya ??? 👀🤔👁️🙄 , seleb , publik figur , influencer , buzzer , temen 2 nya boss gk termasuk ya ??? 😱😰🤮",negatif
